country,region,population,area,coastline,net migration,GDP,literacy,phones_per_1000,birthrate,deathrate,agriculture,industry,service
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,"0,07",0,1800,"41,7","12,9","40,99","12,16","0,25","0,29","0,46"
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,"8,68","-0,9",11400,"85,6","289,3","15,43","6,86","0,059","0,298","0,643"
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,"49,52","6,78",2600,,"49,7","40,95","7,7",,,
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,"0,47","-4,87",9000,"92,2","181,6","20,69","4,74","0,038","0,259","0,702"
"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,"870,66","-20,99",2000,89,"114,8","24,68","4,75","0,289","0,152","0,559"
Moldova ,C.W. OF IND. STATES ,4466706,33843,0,"-0,26",1800,"99,1","208,1","15,7","12,64","0,213","0,233","0,555"
Monaco ,WESTERN EUROPE                     ,32543,2,205,"7,75",27000,99,"1035,6","9,19","12,91","0,17",,
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,0,0,1800,"97,8","55,1","21,59","6,95","0,206","0,214","0,58"
Montserrat ,LATIN AMER. & CARIB    ,9439,102,"39,22",0,3400,97,,"17,59","7,1",,,
Morocco ,NORTHERN AFRICA                    ,33241259,446550,"0,41","-0,98",4000,"51,7","40,4","21,98","5,58","0,217","0,357","0,426"
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,"0,31",0,1200,"47,8","3,5","35,18","21,35","0,262","0,348","0,39"
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,"0,19",0,7200,84,"62,6","24,32","18,86","0,097","0,315","0,588"
Nauru ,OCEANIA                            ,13287,21,"142,86",0,5000,,143,"24,76","6,7",,,
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,0,0,1400,"45,2","15,9","30,98","9,31","0,38","0,21","0,41"
Netherlands ,WESTERN EUROPE                     ,16491461,41526,"1,09","2,91",28600,99,"460,8","10,9","8,68","0,021","0,244","0,736"
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,"37,92","-0,41",11400,"96,7","365,3","14,78","6,45","0,01","0,15","0,84"
New Caledonia ,OCEANIA                            ,219246,19060,"11,83",0,15000,91,"252,2","18,11","5,69","0,15","0,088","0,762"
New Zealand ,OCEANIA                            ,4076140,268680,"5,63","4,05",21600,99,"441,7","13,76","7,53","0,043","0,273","0,684"
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,"0,7","-1,22",2300,"67,5","39,7","24,51","4,45","0,165","0,275","0,56"
